author,title,kind,words,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust,sentiment
"Dickens, Charles",Great Expectations,location,Europe,0,3,3,3,3,6,6,0,0,0,0
"Dickens, Charles",Great Expectations,location,France,0,0,0.5,0,0,1.5,0,0,0,0,-1.5
"Dickens, Charles",Great Expectations,location,Gerrard Street,0.25,0,0,0.25,0.75,1.25,3,0.25,0.25,1,1.75
"Dickens, Charles",Great Expectations,location,Gravesend,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0,1.6666666666666667,0.3333333333333333,2,0,0,-1.3333333333333333
"Dickens, Charles",Great Expectations,location,Greenwich,1,1,0,1,0,4.5,7,3.5,0,3.5,2.5
"Dickens, Charles",Great Expectations,location,Hamburg,0,1.6,0,0.4,1,0.4,1.4,0,0.8,1,1
"Dickens, Charles",Great Expectations,location,Hyde Park,0,0,0,0,0,0.5,0.5,0,0,1,0
"Dickens, Charles",Great Expectations,location,India,2,1,1,1,0,2,1,2,1,0,-1
"Dickens, Charles",Great Expectations,location,Kent,0,0,0,0,0,0,0,3,0,0,0
"Dickens, Charles",Great Expectations,location,Little Britain,0,1.3846153846153846,0,0.6923076923076923,0.5384615384615384,0.46153846153846156,2.8461538461538463,0.15384615384615385,0.15384615384615385,3.3846153846153846,2.3846153846153846
"Dickens, Charles",Great Expectations,location,London,0.7796610169491526,1.2203389830508475,0.6779661016949152,0.6779661016949152,0.711864406779661,2.135593220338983,2.9491525423728815,1.1355932203389831,0.423728813559322,1.8644067796610169,0.8135593220338984
"Dickens, Charles",Great Expectations,location,Lunnon,0,0,2,1,0,2,1,0,0,0,-1
"Dickens, Charles",Great Expectations,location,Marseilles,0,3,0,3,3,0,3,0,0,0,3
"Dickens, Charles",Great Expectations,location,New South Wales,0.5,1.125,0,0.75,0.25,0.75,1.75,0,0.375,2,1
"Dickens, Charles",Great Expectations,location,Paris,1.8888888888888888,4.111111111111111,0.3333333333333333,6.666666666666667,3.3333333333333335,10.88888888888889,4.333333333333333,7.777777777777778,1.1111111111111112,4.666666666666667,-6.555555555555555
"Dickens, Charles",Great Expectations,location,Portsmouth,0.75,1.75,0.25,1,1,1,2.25,0.75,0.5,1.25,1.25
"Dickens, Charles",Great Expectations,location,Richmond,0.125,1,0,1.875,0.75,0.875,3.75,0.625,0.125,1.5,2.875
"Dickens, Charles",Great Expectations,location,Saint Paul,3,3,1,2,2,3,3,2,2,3,0
"Dickens, Charles",Great Expectations,location,Spider,0.5,1.7,1.9,1.5,0.5,0.9,1.8,0.2,0,1.2,0.9
"Dickens, Charles",Great Expectations,location,Temple,0.4375,0.6875,0.375,0.8125,0.5625,1.4375,2.3125,0.5,0.3125,1.625,0.875
"Dickens, Charles",Great Expectations,location,Temple Gardens,0,0,0,4,0,0,0,0,0,4,0
"Dickens, Charles",Great Expectations,location,Westminster,0,4,0,0,4,0,4,0,0,4,4
"Dickens, Charles",Great Expectations,location,Westminster Abbey,0,4,0,0,4,0,4,0,0,4,4
"Dickens, Charles",Great Expectations,location,Windsor,3,6,3,3,6,3,18,3,3,9,15
"Dickens, Charles",Great Expectations,location,Wood Street,1,1.5,0,1.5,0,2.5,0,3,0,0.5,-2.5
