author,title,kind,street,area,city,province,country,words,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust,sentiment
"Dickens, Charles",A Tale of Two Cities,location,,,,,,South Sea,1,0,0,1,0,2,2,0,0,0,0
"Dickens, Charles",A Tale of Two Cities,location,,,,,,Temple,1.055555556,1.333333333,0.722222222,1.166666667,0.944444444,2.611111111,2.888888889,1.277777778,0.5,3.277777778,0.277777778
"Dickens, Charles",A Tale of Two Cities,location,,Temple Bar,London,,United Kingdom,Temple Bar,0.833333333,1.166666667,0.666666667,0.75,1,2.333333333,3.333333333,0.833333333,0.75,4.333333333,1
"Dickens, Charles",A Tale of Two Cities,location,,Temple Court,London,,United Kingdom,Temple Court,4,2,2,4,0,6,0,6,0,0,-6
"Dickens, Charles",A Tale of Two Cities,location,,,Washington,,United States of America,Washington,1.5,1.5,0.5,2.5,1.5,3.5,4,1,0.5,3,0.5
"Dickens, Charles",A Tale of Two Cities,location,,Westminster Abbey,London,,United Kingdom,Westminster,4.5,3.5,6,6,2,10.5,3.5,6,1,1.5,-7
"Dickens, Charles",A Tale of Two Cities,location,,Westminster Hall,London,,United Kingdom,Westminster Hall,9,3,12,12,0,21,3,12,0,3,-18
"Dickens, Charles",Great Expectations,location,,,,,United States of America,America,1,1,0,1,1,4,5,3,1,1,1
"Dickens, Charles",Great Expectations,location,,,Athens,,Greece,Athens,0,0,0,0,0,3,0,0,0,0,-3
"Dickens, Charles",Great Expectations,location,,,,,,Biddy,1.282208589,1.779141104,0.877300613,1.576687117,1.668711656,2.533742331,4.705521472,1.852760736,0.668711656,2.245398773,2.171779141
"Dickens, Charles",Great Expectations,location,,Botany Bay,Kent,,United Kingdom,Botany Bay,0,1,0,0,1,0,1,0,0,1,1
"Dickens, Charles",Great Expectations,location,,,,,United Kingdom,Britain,0,1.384615385,0,0.692307692,0.538461538,0.461538462,2.846153846,0.153846154,0.153846154,3.384615385,2.384615385
"Dickens, Charles",Great Expectations,location,,,Cairo,,Egypt,Cairo,3,6,3,6,3,6,6,3,3,0,0
"Dickens, Charles",Great Expectations,location,,Camberwell Green,London,,United Kingdom,Camberwell Green,0,0,0,1.5,3,3,3,3,1.5,1.5,0
"Dickens, Charles",Great Expectations,location,,Cambridge,London,,United Kingdom,Cambridge,0,7,0,0,7,0,14,0,0,0,14
"Dickens, Charles",Great Expectations,location,,,Canterbury,,United Kingdom,Canterbury,4,0,4,4,8,28,24,8,4,16,-4
"Dickens, Charles",Great Expectations,location,,Covent Garden,London,,United Kingdom,Covent Garden,3.333333333,5.333333333,1.666666667,0.666666667,6,4,8.666666667,2.333333333,3.333333333,4,4.666666667
"Dickens, Charles",Great Expectations,location,,,,,Denmark,Denmark,0.75,3.25,0.5,3.25,3,2.75,6.5,0.25,0,3,3.75
"Dickens, Charles",Great Expectations,location,,,,,,East,0.928571429,1.119047619,0.5,1.214285714,0.988095238,1.904761905,2.107142857,1.05952381,0.654761905,1.392857143,0.202380952
"Dickens, Charles",Great Expectations,location,,,,,England,England,0.636363636,0.454545455,0.181818182,0.818181818,0.090909091,1.363636364,1.272727273,0.363636364,0.272727273,0.454545455,-0.090909091
"Dickens, Charles",Great Expectations,location,,,Essex,,United Kingdom,Essex,0,0,0,0,0,1.333333333,5.333333333,1.666666667,0,2.666666667,4
"Dickens, Charles",Great Expectations,location,Essex Street,,London,,United Kingdom,Essex Street,0,0,0,0,0,2,8,1,0,4,6
"Dickens, Charles",Great Expectations,location,,,,,Europe,Europe,0,3,3,3,3,6,6,0,0,0,0
"Dickens, Charles",Great Expectations,location,,,,,France,France,0,0,0.5,0,0,1.5,0,0,0,0,-1.5
"Dickens, Charles",Great Expectations,location,Gerrard Street,,London,,United Kingdom,Gerrard Street,0.25,0,0,0.25,0.75,1.25,3,0.25,0.25,1,1.75
